dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,y_joint_scale,y_joint_center,x_joint_scaled_scale,x_joint_scaled_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_weight_exp:x_joint_height_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_weight_exp:x_joint_height_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_weight_exp:x_joint_height_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_height_exp_center,x_joint_poly_stand_est,x_joint_poly_stand_t_val,x_joint_poly_scale,x_joint_poly_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_poly:x_joint_weight_poly_stand_est,x_joint_poly:x_joint_weight_poly_stand_t_val,x_joint_poly:x_joint_weight_poly_scale,x_joint_poly:x_joint_weight_poly_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center
PIP3 - DIP3,3,334623,30,91,87528,21,22,5,10.552350605781056,0.3385387431161277,10.805299932486157,0.36761916825128477,2,0.05058631543336278,0.7433802066265487,0.7211773246727385,0.8111257009870639,0.6276911693756072,898.2065736711605,15.864289975808886,28.545012582435135,20.626873294866293,20.49459711561478,4.93245367900825,0.15824215204289802,7.541139110452093,0.2565655099602376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP3 - DIP3,8,497203,32,112,119998,27,28,5,10.940821522027342,0.39211577197297687,11.984346360995607,0.4192485516273249,2,0.21231351218825673,0.5105139935280454,0.539690604190836,0.5974898307946842,0.5198316904708231,581.6938834559985,15.888313895105034,24.58518272703375,24.105227536239326,27.407346776263072,6.913724233296034,0.24778580927301389,10.424754984424371,0.3646893453041494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,1,256763,16,48,73332,12,12,10,13.901138618310098,0.6138427917574125,13.688364816596465,0.5845592684273202,2,-0.08899368046604196,0.9215088457390634,0.8718417076080197,0.6805050067300247,0.8248530627787536,503.56663052549817,23.07833843599107,23.6080749202296,15.143550506835775,35.80638587940311,11.22037374045379,0.4954662873679771,11.715484145457458,0.500307738221379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,2,388131,24,85,79757,20,21,6,17.22101483160854,0.41258814903131674,17.25527695562083,0.3927938319422781,2,-0.1123607769793655,0.5360089116707721,0.5263181971500988,0.7561888351993766,NA,NA,37.55937120881741,39.573128672093226,NA,NA,12.032689233770279,0.28828411260166226,11.684096620911781,0.26597319163960287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0483034203046493,1295.2367973349242,2486.152584372878,3455.159120780828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,3,469901,28,92,99161,22,22,5,18.56499929408832,0.47339890908450893,18.62764401829445,0.5139594158923675,2,-0.2920334513730416,0.9913926753918886,1.0413440109170016,0.8572925969511822,NA,NA,33.57124565211143,39.70227280932452,NA,NA,10.627459348155607,0.27099530584732473,12.74122360311427,0.3515458978268704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0885024326019503,1380.5052130254487,2069.5405397906034,3276.0763858259343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,4,436895,40,108,103115,26,26,4,18.269024161462948,0.6569113817398813,15.840452328320913,0.6003533191410894,3,-0.22636365556938498,0.3774277032131146,0.4193256371395848,0.40463707407678257,0.9614235468626803,138.5134892064295,23.65866547494617,30.32261668417383,17.39575812108559,56.548853496397165,14.427297649629141,0.5187718813018136,15.393248416437476,0.5834042859148039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5066543282093505,-74.88172192736037,1882.1872959664965,3500.3845397209843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,5,292296,18,64,75027,16,16,9,15.352267272617087,0.5503533086571633,15.072306865142115,0.5429629872306619,3,-0.146291085736066,0.4982829062847138,0.492041963901785,0.6851978343984106,0.39628429315427677,82.95702998238598,32.11038123798015,28.935729674838623,13.834434967707407,42.32766000670664,12.09118810473712,0.433449031395337,11.747857846484468,0.4232034317613553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35868439269120816,77.64787680634655,1148.308293387208,1983.021737732179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,7,345097,18,56,74478,14,14,9,11.313206582431576,0.5415501444543638,11.709787163937438,0.5559974198192883,4,0.4737844441201235,22.04920083222308,21.051790452710506,0.991869312295117,1.006647159112932,615.2183140272751,21.609157402311133,24.08184564505794,14.955956193003601,43.068263721674846,6.43322571910622,0.3079510916825047,65.77301787558639,3.122996833382013,28.875404480103782,NA,NA,73.09319610347762,NA,NA,6837897684950833e19,NA,NA,5124563132669527e18,NA,NA,NA,NA,NA,NA,75.87227852806926,73.16486141354606,2532504143623476e99,204264839289399e99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,8,334310,36,108,84649,23,26,6,27.32104826213152,0.6053029776918282,25.716777025967218,0.5803810802109874,3,-0.0556411361266871,1.4591373985370395,1.42174659742073,0.8918754183503833,1.4917853072755043,323.1680535609565,38.99917619456195,40.83190256340085,22.944925234244625,55.19159425073586,12.82153832643896,0.2840636000903545,14.585471156154236,0.32916766733434083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29342147444572614,-65.45436598975651,2485.616820910608,3572.5800951482984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP4_f - PIP4,9,489399,31,82,135088,18,20,9,17.82198477540908,0.4372760678621592,15.851924431421521,0.41434785732826596,2,-0.13904980607006728,0.9346625709445116,0.9238926119937004,0.9072516824793769,0.9750453718343915,1604.6887594999253,30.99493907657394,38.98516881016776,20.204762991250103,57.21615187946616,7.171743154058132,0.17596421979054888,8.165098987908358,0.21342464034252487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
